horseID,name,country_age,owner,import_type,color_sex,sire,dam,dam_sire,url
C238,GOLDEN SIXTY,AUS / 8,Stanley Chan Ka Leung,PPG,Brown / Gelding,Medaglia d'Oro,Gaudeamus,Distorted Humor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C238
E486,ROMANTIC WARRIOR,IRE / 6,Peter Lau Pak Fai,ISG,Bay / Gelding,Acclamation,Folk Melody,Street Cry,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E486
G180,LUCKY SWEYNESSE,NZ / 5,"Cheng Ming Leung, Cheng Yu Tung, Cheng Mei Mei & Cheng Yu Wai",PPG,Brown / Gelding,Sweynesse,Madonna Mia,Red Clubs,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G180
H008,BEAUTY ETERNAL,AUS / 5,Patrick Kwok Ho Chuen,PPG,Chestnut / Gelding,Starspangledbanner,Ithacan Queen,Savabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_H008
E058,BEAUTY JOY,AUS / 7,Eleanor Kwok Law Kwai Chun & Patrick Kwok Ho Chuen,PP,Chestnut / Gelding,Sebring,Impressive Jeuney,Jeune,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E058
H399,GALAXY PATCH,AUS / 4,Yeung Kin Man,PP,Bay / Gelding,Wandjina,Voltara,More Than Ready,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H399
G435,STRAIGHT ARRON,AUS / 5,Karen Lo Ki Yan,PP,Bay / Gelding,Fastnet Rock,Imperial Lass,Tavistock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G435
H164,TAJ DRAGON,IRE / 5,Stephanie Hung Yujie,PP,Bay / Gelding,Mehmas,Next Trial,Hard Spun,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H164
H338,MUGEN,AUS / 5,Infinitude Syndicate,PP,Chestnut / Gelding,Deep Field,Little Favours,Falvelon,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H338
J208,MASSIVE SOVEREIGN,IRE / 4,Chan Kam Hung,PP,Bay / Gelding,No Nay Never,Sweet Charity,Myboycharlie,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J208
H093,HOWDEEPISYOURLOVE,AUS / 4,Lo Profile Syndicate,PPG,Brown / Gelding,Deep Field,My Shabella,Haradasun,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H093
G258,MAJESTIC KNIGHT,AUS / 5,"Wilson Ngan Ping Shing, Katherine Ngan Mei Sze, Kanvin Ngan & Wilkie Ngan Chi Wai",PP,Bay / Gelding,Redoute's Choice,Negotiate,Red Ransom,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G258
H302,HELIOS EXPRESS,AUS / 4,Andy Yung Ming Tai,PP,Bay / Gelding,Toronado,Paris Texas,Hinchinbrook,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H302
H474,MOMENTS IN TIME,CHI / 5,Tony Yue Kwok Leung,PP,Chestnut / Gelding,Lookin At Lucky,Magia Para Todos,Rock Of Gibraltar,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H474
