horse_id,race_id,result,date,location_run,distance,G,race_class,dr,rtg,trainer,jockey,lbw,win_odds,act_wt,running_position,finish_time,weight,gear
C238,623,04,28/04/24,"ST / Turf / ""A""",1600,Y,G1,7,133,K W Lui,C Y Ho,3-1/4,1.5,126,2 4 4 4,1.35.04,1132,--
C238,238,01,10/12/23,"ST / Turf / ""A""",1600,G,G1,14,131,K W Lui,C Y Ho,1-1/2,2.3,126,7 7 5 1,1.34.10,1125,--
C238,622,01,30/04/23,"ST / Turf / ""A""",1600,G,G1,6,131,K W Lui,C Y Ho,1-1/2,1.4,126,4 3 2 1,1.33.34,1115,--
C238,451,01,26/02/23,"ST / Turf / ""A+3""",2000,GF,G1,4,131,K W Lui,C Y Ho,HD,2.3,126,5 5 5 4 1,1.59.98,1130,--
C238,375,01,29/01/23,"ST / Turf / ""A+3""",1600,G,G1,2,130,K W Lui,C Y Ho,1,2.5,126,3 3 3 1,1.33.99,1132,--
C238,239,02,11/12/22,"ST / Turf / ""A""",1600,G,G1,4,131,K W Lui,C Y Ho,N,1.5,126,4 5 4 2,1.33.48,1129,--
C238,184,01,20/11/22,"ST / Turf / ""B+2""",1600,GF,G2,6,131,K W Lui,C Y Ho,N,2,128,6 6 5 1,1.34.02,1123,--
C238,611,01,24/04/22,"ST / Turf / ""A""",1600,GF,G1,2,131,K W Lui,C Y Ho,2,1.4,126,4 3 2 1,1.32.81,1130,--
C238,555,01,03/04/22,"ST / Turf / ""B+2""",1600,G,G2,1,131,K W Lui,C Y Ho,2,1.6,128,4 4 4 1,1.32.96,1129,--
C238,441,03,20/02/22,"ST / Turf / ""A""",2000,Y,G1,10,131,K W Lui,C Y Ho,5-1/2,1.4,126,9 10 9 6 3,2.04.98,1130,--
C238,362,02,23/01/22,"ST / Turf / ""A""",1600,G,G1,1,131,K W Lui,C Y Ho,3/4,1,126,6 7 7 2,1.34.96,1117,--
C238,249,01,12/12/21,"ST / Turf / ""A""",1600,G,G1,2,131,K W Lui,C Y Ho,1-3/4,1.3,126,8 6 6 1,1.33.86,1116,--
C238,193,01,21/11/21,"ST / Turf / ""B+2""",1600,G,G2,7,131,K W Lui,C Y Ho,1,1.1,128,7 7 6 1,1.34.55,1109,--
E486,Overseas,01,02/06/24,Tokyo / Turf,1600,G,G1,7,133,C S Shum,J McDonald,1/2,2.5,128,--,1.32.30,--,TT
E486,624,01,28/04/24,"ST / Turf / ""A""",2000,Y,G1,10,132,C S Shum,J McDonald,N,1.9,126,4 5 7 7 1,2.01.02,1178,TT
E486,452,01,25/02/24,"ST / Turf / ""A+3""",2000,G,G1,11,132,C S Shum,J McDonald,N,1.6,126,3 3 4 4 1,2.00.31,1173,TT
E486,239,01,10/12/23,"ST / Turf / ""A""",2000,G,G1,7,130,C S Shum,J McDonald,SH,2.3,126,4 4 4 2 1,2.02.00,1157,TT
E486,Overseas,01,28/10/23,Moonee Valley / Turf,2040,G,G1,7,130,C S Shum,J McDonald,NOSE,2.8,130,--,2.03.16,--,TT
E486,Overseas,04,07/10/23,Flemington / Turf,2000,G,G1,10,130,C S Shum,J McDonald,4,1.6,130,--,2.02.24,--,TT
E486,699,02,28/05/23,"ST / Turf / ""A""",2400,G,G1,8,130,C S Shum,Z Purton,N,1.2,126,1 1 1 1 1 2,2.26.92,1157,TT
E486,623,01,30/04/23,"ST / Turf / ""A""",2000,G,G1,4,130,C S Shum,J McDonald,2,1.6,126,3 3 3 2 1,2.01.92,1159,TT
E486,451,02,26/02/23,"ST / Turf / ""A+3""",2000,GF,G1,6,130,C S Shum,K Teetan,HD,1.5,126,2 3 4 2 2,2.00.02,1153,TT
E486,375,02,29/01/23,"ST / Turf / ""A+3""",1600,G,G1,4,130,C S Shum,K Teetan,1,2,126,2 2 2 2,1.34.15,1156,TT
E486,240,01,11/12/22,"ST / Turf / ""A""",2000,G,G1,7,127,C S Shum,J McDonald,4-1/2,1.8,126,4 5 6 5 1,1.59.70,1148,TT
E486,185,01,20/11/22,"ST / Turf / ""B+2""",2000,GF,G2,9,122,C S Shum,J McDonald,1-1/4,2.2,128,4 4 4 3 1,1.59.23,1148,TT
E486,612,01,24/04/22,"ST / Turf / ""A""",2000,GF,G1,4,102,C S Shum,K Teetan,2,1.8,126,3 5 6 4 1,2.00.13,1115,TT
E486,517,01,20/03/22,"ST / Turf / ""A""",2000,G,4YO,8,101,C S Shum,K Teetan,HD,3.7,126,4 7 7 3 1,2.00.23,1113,TT
E486,460,04,27/02/22,"ST / Turf / ""B""",1800,G,4YO,13,101,C S Shum,K Teetan,2-1/2,3.6,126,5 6 6 7 4,1.47.38,1110,TT
E486,383,01,30/01/22,"ST / Turf / ""A+3""",1600,G,4YO,1,85,C S Shum,K Teetan,1/2,4.9,126,6 6 5 1,1.33.80,1109,TT
E486,346,01,16/01/22,"ST / Turf / ""C+3""",1400,G,3,3,76,C S Shum,J Moreira,1-1/4,1.9,130,6 5 4 1,1.21.39,1119,TT
E486,269,01,18/12/21,"ST / Turf / ""C+3""",1200,G,3,7,67,C S Shum,J Moreira,1-3/4,2.4,122,7 8 1,1.09.00,1121,TT
E486,202,01,24/11/21,"HV / Turf / ""C+3""",1200,G,4,5,60,C S Shum,J Moreira,1,1.4,133,7 6 1,1.09.41,1115,TT
E486,107,01,20/10/21,"HV / Turf / ""C""",1200,GF,4,12,52,C S Shum,J Moreira,1-1/2,3.7,126,5 3 1,1.09.48,1109,TT1
G180,565,01,07/04/24,"ST / Turf / ""B+2""",1200,G,G2,7,132,K L Man,H Bowman,1/2,2,128,9 8 1,1.09.17,1205,--
G180,490,05,10/03/24,"ST / Turf / ""C""",1400,G,G1,8,132,K L Man,J McDonald,1-1/2,2.2,126,7 10 8 5,1.22.40,1204,--
G180,376,06,28/01/24,"ST / Turf / ""A+3""",1200,G,G1,5,132,K L Man,Z Purton,4-1/4,1.3,126,10 11 6,1.10.11,1201,--
G180,236,01,10/12/23,"ST / Turf / ""A""",1200,G,G1,5,131,K L Man,Z Purton,3/4,1.3,126,4 3 1,1.09.25,1197,--
G180,182,01,19/11/23,"ST / Turf / ""B+2""",1200,GF,G2,5,131,K L Man,Z Purton,N,1.3,128,4 4 1,1.08.42,1209,--
G180,107,02,22/10/23,"ST / Turf / ""B+2""",1200,G,G2,5,131,K L Man,Z Purton,SH,1.4,135,2 2 2,1.08.28,1215,--
G180,004,02,10/09/23,"ST / Turf / ""A""",1200,Y,1,6,131,K L Man,Z Purton,2-1/2,1.2,135,5 2 2,1.10.27,1206,--
G180,718,01,04/06/23,"ST / Turf / ""B""",1200,GF,G3,3,130,K L Man,Z Purton,1-1/4,1.4,135,3 3 1,1.08.00,1195,--
G180,620,01,30/04/23,"ST / Turf / ""A""",1200,G,G1,6,130,K L Man,Z Purton,3-1/4,1.2,126,2 2 1,1.08.38,1200,--
G180,565,01,09/04/23,"ST / Turf / ""B+2""",1200,G,G2,4,130,K L Man,Z Purton,1,1.2,128,3 3 1,1.09.15,1189,--
G180,508,01,19/03/23,"ST / Turf / ""A""",1400,G,G1,4,128,K L Man,J McDonald,1-1/4,2.6,126,2 2 2 1,1.21.12,1180,--
G180,395,01,05/02/23,"ST / Turf / ""B+2""",1200,G,G1,8,125,K L Man,Z Purton,1-1/2,1.7,126,2 2 1,1.08.12,1186,--
G180,297,01,01/01/23,"ST / Turf / ""C""",1400,G,G3,6,119,K L Man,Z Purton,1-1/4,1.6,135,2 2 2 1,1.21.43,1184,--
G180,237,06,11/12/22,"ST / Turf / ""A""",1200,G,G1,3,119,K L Man,Z Purton,2-1/2,1.9,126,5 6 6,1.09.17,1185,--
G180,183,01,20/11/22,"ST / Turf / ""B+2""",1200,GF,G2,11,113,K L Man,Z Purton,N,4.5,123,7 7 1,1.07.55,1179,--
G180,118,02,23/10/22,"ST / Turf / ""B+2""",1200,GF,G2,11,112,K L Man,Z Purton,1,1.7,124,1 1 2,1.07.93,1182,--
G180,004,01,11/09/22,"ST / Turf / ""A""",1200,G,1,6,98,K L Man,S De Sousa,3-1/4,2.1,115,3 3 1,1.08.58,1187,--
G180,835,01,16/07/22,"ST / Turf / ""A""",1200,G,2,10,88,K L Man,Z Purton,1-1/2,3.5,124,1 1 1,1.08.34,1164,--
G180,769,02,22/06/22,"HV / Turf / ""B""",1200,G,2,2,87,K L Man,M F Poon,3/4,2.7,120,5 4 2,1.09.83,1175,--
G180,730,01,05/06/22,"ST / Turf / ""C""",1400,G,2,5,81,K L Man,M F Poon,SH,6.1,116,4 5 5 1,1.21.95,1180,--
G180,662,03,11/05/22,"HV / Turf / ""A""",1200,Y,3,5,80,K L Man,Z Purton,3/4,1.7,133,4 5 3,1.11.02,1180,--
G180,527,01,23/03/22,"HV / Turf / ""C+3""",1200,Y,3,8,73,K L Man,Z Purton,1/2,1.4,127,2 2 1,1.10.59,1188,--
G180,471,01,02/03/22,"HV / Turf / ""A""",1200,G,3,5,61,K L Man,J Moreira,2,2.1,115,1 1 1,1.09.28,1191,--
G180,412,01,09/02/22,"HV / Turf / ""B""",1200,G,4,4,52,K L Man,Z Purton,2-1/2,4.7,125,5 4 1,1.10.20,1184,--
H008,623,01,28/04/24,"ST / Turf / ""A""",1600,Y,G1,11,119,J Size,Z Purton,1-1/2,12,126,1 1 1 1,1.34.52,1203,--
H008,566,02,07/04/24,"ST / Turf / ""B+2""",1600,G,G2,8,119,J Size,Z Purton,1-1/4,2.1,123,3 4 3 2,1.34.21,1205,--
H008,490,04,10/03/24,"ST / Turf / ""C""",1400,G,G1,6,119,J Size,Z Purton,1,2.9,126,8 8 7 4,1.22.35,1222,--
H008,357,02,21/01/24,"ST / Turf / ""A""",1600,G,G1,8,119,J Size,Z Purton,1-1/4,3.3,126,2 2 1 2,1.34.16,1206,--
H008,238,06,10/12/23,"ST / Turf / ""A""",1600,G,G1,5,119,J Size,Z Purton,3-1/2,4.6,126,9 8 9 6,1.34.68,1201,--
H008,183,01,19/11/23,"ST / Turf / ""B+2""",1600,GF,G2,5,117,J Size,Z Purton,SH,2.5,123,4 4 3 1,1.33.04,1193,--
H008,088,03,15/10/23,"ST / Turf / ""A+3""",1600,G,G2,3,117,J Size,Z Purton,1,1.8,123,5 5 5 3,1.34.35,1205,--
H008,763,01,25/06/23,"ST / Turf / ""A""",1400,G,G3,1,112,J Size,Z Purton,N,1.6,128,3 3 3 1,1.22.26,1177,--
H008,714,01,04/06/23,"ST / Turf / ""B""",1600,GF,G3,3,106,J Size,Z Purton,1-1/4,1.4,122,3 3 3 1,1.33.34,1179,--
H008,660,02,13/05/23,"ST / Turf / ""C""",1400,Y,1,4,105,J Size,Z Purton,1-3/4,1.9,130,5 8 5 2,1.23.24,1180,--
H008,625,01,30/04/23,"ST / Turf / ""A""",1400,G,2,10,99,J Size,Z Purton,SH,2.2,133,7 7 6 1,1.21.44,1182,--
H008,509,03,19/03/23,"ST / Turf / ""A""",2000,G,4YO,7,94,J Size,Z Purton,HD,2.3,126,3 4 4 3 3,2.02.81,1185,--
H008,447,01,26/02/23,"ST / Turf / ""A+3""",1600,GF,2,2,84,J Size,Z Purton,2,1.1,120,2 3 2 1,1.33.40,1193,--
H008,416,01,12/02/23,"ST / Turf / ""C+3""",1400,G,3,1,74,J Size,Z Purton,1-3/4,1.3,129,1 3 3 1,1.21.55,1192,--
H008,357,01,21/01/23,"ST / Turf / ""B""",1200,G,3,12,65,J Size,Z Purton,1,1.5,120,4 4 1,1.08.79,1196,--
H008,298,WV-A,01/01/23,"ST / Turf / ""C""",1200,G,3,--,65,J Size,Z Purton,--,--,121,--,--,--,--
H008,204,WV,27/11/22,"ST / Turf / ""C""",1200,G,3,--,65,J Size,Z Purton,--,--,123,--,--,--,--
H008,148,03,06/11/22,"ST / Turf / ""C+3""",1200,G,3,7,63,J Size,Z Purton,N,1.5,121,7 8 3,1.09.11,1187,--
H008,078,01,09/10/22,"ST / Turf / ""A""",1200,G,4,14,52,J Size,Z Purton,2,2.9,127,8 7 1,1.09.14,1154,--
E058,770,02,23/06/24,"ST / Turf / ""A""",1800,G,G3,5,119,A S Cruz,H Bowman,N,14,135,8 9 8 7 2,1.48.70,1035,TT
E058,719,03,02/06/24,"ST / Turf / ""B""",1600,GF,G3,7,119,A S Cruz,B Avdulla,2-3/4,9.8,135,7 7 4 3,1.34.37,1034,TT
E058,623,07,28/04/24,"ST / Turf / ""A""",1600,Y,G1,4,119,A S Cruz,B Avdulla,6,23,126,10 10 9 7,1.35.48,1035,TT
E058,566,01,07/04/24,"ST / Turf / ""B+2""",1600,G,G2,1,113,A S Cruz,B Avdulla,1-1/4,4.6,123,9 8 6 1,1.34.03,1043,TT
E058,490,07,10/03/24,"ST / Turf / ""C""",1400,G,G1,10,115,A S Cruz,K C Leung,3,43,126,10 9 10 7,1.22.64,1034,H-/TT
E058,452,06,25/02/24,"ST / Turf / ""A+3""",2000,G,G1,9,117,A S Cruz,K C Leung,4-1/4,27,126,11 11 11 10 6,2.01.00,1042,H/TT
E058,357,03,21/01/24,"ST / Turf / ""A""",1600,G,G1,5,117,A S Cruz,K C Leung,2-1/4,12,126,8 8 6 3,1.34.31,1035,H/TT
E058,303,03,01/01/24,"ST / Turf / ""A""",1400,G,G3,4,118,A S Cruz,J McDonald,2-3/4,4.2,123,7 7 7 3,1.22.40,1042,H/TT
E058,238,05,10/12/23,"ST / Turf / ""A""",1600,G,G1,6,118,A S Cruz,M Guyon,3-1/2,19,126,14 14 14 5,1.34.66,1039,H/TT
E058,183,02,19/11/23,"ST / Turf / ""B+2""",1600,GF,G2,2,114,A S Cruz,K C Leung,SH,11,123,5 5 5 2,1.33.04,1041,H/TT
E058,088,07,15/10/23,"ST / Turf / ""A+3""",1600,G,G2,7,116,A S Cruz,M Chadwick,2-1/2,12,122,7 7 6 7,1.34.59,1046,H/TT
E058,039,04,24/09/23,"ST / Turf / ""C""",1400,G,G3,3,117,A S Cruz,H Bowman,2,6.8,135,3 3 3 4,1.22.25,1032,H/TT
E058,763,04,25/06/23,"ST / Turf / ""A""",1400,G,G3,6,119,A S Cruz,H Bowman,1-1/2,8.4,135,6 6 6 4,1.22.51,1032,H/TT
E058,714,03,04/06/23,"ST / Turf / ""B""",1600,GF,G3,2,119,A S Cruz,H Bowman,1-1/4,5.4,135,4 4 4 3,1.33.51,1028,H/TT
E058,622,02,30/04/23,"ST / Turf / ""A""",1600,G,G1,2,118,A S Cruz,H Bowman,1-1/2,21,126,5 5 4 2,1.33.59,1037,H/TT
E058,566,03,09/04/23,"ST / Turf / ""B+2""",1600,G,G2,1,118,A S Cruz,M Chadwick,1,7,123,4 3 4 3,1.34.35,1038,H/TT
E058,428,02,19/02/23,"ST / Turf / ""A""",1400,G,1,6,118,A S Cruz,Z Purton,3/4,4.9,135,3 2 2 2,1.21.88,1030,H/TT
E058,375,05,29/01/23,"ST / Turf / ""A+3""",1600,G,G1,1,118,A S Cruz,H Bowman,4-3/4,43,126,5 5 4 5,1.34.76,1041,H/TT
E058,297,04,01/01/23,"ST / Turf / ""C""",1400,G,G3,1,119,A S Cruz,H Bowman,2-1/2,7.9,135,4 4 4 4,1.21.84,1038,H/TT
E058,239,04,11/12/22,"ST / Turf / ""A""",1600,G,G1,5,119,A S Cruz,H Bowman,5-1/4,24,126,5 1 1 4,1.34.24,1030,H/TT
E058,185,07,20/11/22,"ST / Turf / ""B+2""",2000,GF,G2,4,119,A S Cruz,Z Purton,4-3/4,2.9,123,5 6 6 5 7,2.00.01,1023,H/TT
E058,146,02,06/11/22,"ST / Turf / ""C+3""",1800,G,G3,7,117,A S Cruz,Z Purton,1/2,2.3,135,2 3 4 3 2,1.46.43,1027,H/TT
E058,100,10,16/10/22,"ST / Turf / ""A+3""",1600,GF,G2,14,117,A S Cruz,L Currie,4,10,129,9 6 4 10,1.34.05,1033,H/TT
